FID,MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,mean_AI,Shape__Area,Shape__Length
439,E02000467,Havering 004,6.28628883324,2.54040778873,10.7596144654,2,8343.28581915,6.40325107481,1358592.96192169,8343.28581914971
440,E02000468,Havering 005,0,0,11.2990991549,1a,13482.8799195,2.15282299443,4093894.4587326,13482.8799195334
441,E02000469,Havering 006,3.54164689929,0,9.28832439939,1b,7987.49011375,3.47225817621,1714035.67028046,7987.49011374982
442,E02000470,Havering 007,0,0,15.468814957,1a,18523.5567638,2.2018191649,6762613.84304047,18523.556763801
443,E02000471,Havering 008,2.854757555,0,9.58275740765,1a,9202.01935271,2.46356640907,2140503.62716675,9202.0193527107
444,E02000472,Havering 009,8.0410708027,0,22.5288501471,2,9444.09456585,8.2166441952,1535764.63373566,9444.09456584804
445,E02000473,Havering 010,3.00058032563,0,10.7023681182,1b,14637.6694965,2.79661638869,2855531.87393951,14637.6694964852
446,E02000474,Havering 011,3.54157038475,0,26.6686150455,1b,11364.9768336,4.45126346276,2207142.66116333,11364.9768335643
447,E02000475,Havering 012,5.21928307216,0,25.0472193752,2,13110.4096308,5.45639519752,2802686.15966797,13110.4096307872
448,E02000476,Havering 013,24.5084299452,0,46.471321821,5,11046.8617887,22.0482369887,1566452.21027374,11046.861788744
449,E02000477,Havering 014,5.98358056629,0,13.4346051712,2,9885.40659949,6.13733475465,1749124.47621918,9885.40659948944
450,E02000478,Havering 015,2.32688195172,0,8.94908716877,1b,8844.02529991,2.62704929658,2491271.20573425,8844.02529991454
451,E02000479,Havering 016,8.35767005145,2.77889618745,38.2732855702,3,8578.48112035,13.5848744543,1375115.20682526,8578.48112035006
452,E02000480,Havering 017,3.67169061581,0,33.6241705885,2,10305.7984694,6.11601177132,3375481.29113007,10305.7984693809
453,E02000481,Havering 018,0,0,6.49890667035,1a,24153.6549919,0.635491571882,12243913.5086823,24153.6549918844
454,E02000482,Havering 019,3.53898826917,0,23.9798521504,2,11683.4375158,6.54627413795,2830038.72431183,11683.4375158355
455,E02000483,Havering 020,9.18939617753,2.068073533,18.6947115544,2,8576.42275111,9.56345432284,1602647.88586426,8576.42275110611
456,E02000484,Havering 021,3.37920731586,0,10.7246367461,1b,9054.1236584,3.50795744867,1850738.75841522,9054.12365839956
457,E02000485,Havering 022,7.06272797807,0,21.8155965281,2,10911.0638761,7.53174128618,2093681.01582336,10911.0638761413
458,E02000486,Havering 023,9.2162436361,0,16.7450500527,2,7774.13858861,8.87111014255,1274230.41619873,7774.13858860859
459,E02000487,Havering 024,0,0,15.985226162,1a,21792.4412898,0.88206579325,12879963.3644867,21792.4412898408
460,E02000488,Havering 025,3.44206365578,0,12.6231737516,1b,9900.49287525,4.42286792265,1828736.57021332,9900.49287524839
461,E02000489,Havering 026,3.11361299673,0,15.6819963052,1b,13655.2331836,3.92703518982,2599206.98774719,13655.2331835952
462,E02000490,Havering 027,4.59029296079,0,8.11678124804,1b,9810.40945803,3.64479451208,2051468.60170746,9810.40945802563
463,E02000491,Havering 028,2.88636838061,0,8.92021622283,1b,13294.2621954,3.21424651209,5348459.79774475,13294.2621953851
464,E02000492,Havering 029,0,0,8.28815965982,1a,24686.0646221,0.708215031788,15611168.7031708,24686.0646221408
465,E02000493,Havering 030,3.43307577038,0,10.6524617713,1b,6473.52406543,3.89602996333,1288924.32318878,6473.52406543152
466,E02000494,Hillingdon 001,1.50819876354,0,14.4226368303,1a,18772.7207062,2.37863997336,6221247.75978851,18772.7207062163
467,E02000495,Hillingdon 002,9.66399488016,0,15.7601370278,2,11731.0231665,7.75138735124,2727704.3219223,11731.0231665054
468,E02000496,Hillingdon 003,0,0,6.44916703399,1a,20712.8210767,0.630083774736,15224361.2557068,20712.8210766656
469,E02000497,Hillingdon 004,2.28811456404,0,11.4892507216,1b,10851.2380471,3.03624222831,2702010.56010437,10851.2380470681
470,E02000498,Hillingdon 005,1.83835838353,0,14.2220783132,1a,10083.3709596,2.07968874618,3137717.60671234,10083.3709596013
